ClipNumber,Path,Description,Length (s/f),Onset(s),Offset(s),Hazard Location
PilotClip2,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip2.mp4,Car pulls put from right with cyclist on left,0:45:10,35.32943333,37.62,Centre
PilotClip3,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip3.mp4,Pedestrians step into road from the right,0:49:03,23.54635385,32.4,Right
PilotClip4,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip4.mp4,Car door opens from left,0:25:11,16.11014615,19.17,Right
PilotClip6,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip6.mp4,Car turning left has to stop in road,0:41:45,29.98149231,33.97,Left
PilotClip7,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip7.mp4,Pedestrian steps into road from the right,0:57:22,36.29034615,40.47,Left
PilotClip8,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip8.mp4,Cyclists in the road,0:57:45,43.28397143,46.98,Left
PilotClip9,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip9.mp4,Van encroaches on your lane,0:33:53,18.00332143,20.13,Right
PilotClip10,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip10.mp4,Pedestrians step into the road from the left,0:42:26,32.86980714,36.07,Centre-right
PilotClip11,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip11.mp4,Car starts reversing into the road,0:41:46,23.60091429,26.38,Centre
PilotClip13,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip13.mp4,Van pulls off without indicating,0:33:35,21.49799286,25.12,Left
PilotClip14,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip14.mp4,Pedestrian runs into the road from the right,0:19:30,11.17602308,12.9,Centre-right
PilotClip15,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip15.mp4,Van pulls out from the left,0:38:07,17.79067857,20.57,Centre-left
PilotClip16,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip16.mp4,Pedestrian steps out from the left,0:23:08,13.59683077,15.63,Centre-left
PilotClip17,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip17.mp4,Van pulls out from the left,0:24:25,12.03084167,16.38,Right
PilotClip18,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip18.mp4,Pedestrian steps out from the left,0:45:01,29.16626154,33.58,Centre-left
PilotClip19,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip19.mp4,Car stopped in the middle of the road,0:31:12,24.9008,27.65,Centre-left
PilotClip20,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip20.mp4,Pedestrian steps out from the left,0:19:30,9.260092857,13.8,Centre-left
PilotClip21,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip21.mp4,Car door opens from left,0:41:08,24.44250714,28.83,Left
PilotClip22,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip22.mp4,Pedestrians in middle of road,0:32:37,22.68368571,25.63,Centre
PilotClip23,D:\PsychoPyExperiments\Study2HazardPerception\PilotClip23.mp4,Cars pulling across path,0:29:37,16.87435833,18.05,Left/Centre
